id,title,authors,year,journal,doi,source,auto_decision,auto_reason,screening_decision,screening_reason,reviewer_notes,screening_date,abstract
0,In Vitro Degradation of Chlorpyrifos by the Ruminal Microbes: Insights from the Rumen Metagenome,"Malik PK, Mohapatra A, Trivedi S, Kolte AP, Sahoo A, Bhatta R.",2026,,10.3390/microorganisms14030581,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
1,PhaGCN_Cluster: A Scalable and Robust Framework for Automated Classification and Discovery of Viral Dark Matter from Metagenomes,"Xia HL, Liang PY, Yuan WG, Cao XD, Sun Y, Jiang JZ, Yuan LH.",2026,,10.1007/s12539-026-00820-z,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
2,"Microbiome Datahub: an open-access platform integrating environmental metadata, taxonomy, and functional annotation for comprehensive metagenome-assembled genome datasets","Mori H, Fujisawa T, Higashi K, Tanizawa Y, Nakagawa Z, Nishide H, Fujiyoshi M, Nakamura Y, Uchiyama I, Matsui M, Yamada T.",2026,,10.1186/s40168-026-02385-x,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
3,Chaihu-Shugan-San ameliorates chronic atrophic gastritis by inhibiting nuclear factor-kappa B-mediated inflammation and apoptosis,"Song J, Li DY, Zhang XL, He SS, Wang N, Zhang HC, Bai YJ, Li B, Zhang SS.",2026,,10.3748/wjg.v32.i10.115957,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
5,Microbial metabolite trimethylamine N-oxide exacerbated microglial-mediated neuroinflammation in hemorrhagic stroke,"Ye T, Kong X, Lv X, Li Q, Jin H, Chen M, Liu J, Zhao M.",2026,,10.1016/j.jstrokecerebrovasdis.2026.108603,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
6,Exploring the effects of IFN-τ on LPS-induced endometritis in cows based on transcriptomics,"Liu P, Zhang Y, Chen X, Tang L, Xu W, Wang G, Zhang D, Liu J.",2026,,10.1371/journal.pone.0343553,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
7,Advancing Whole-Person Health through Informatics: A Narrative Review of Knowledge Resources for Complementary and Integrative Health,"Austin RR, Fiszman M, Guerra E, Zhang R, Kilicoglu H.",2026,,10.1016/j.tjnut.2026.101461,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
8,Multifaceted human gut microbiome data associated with health and nutrition,"Maisto L, Telegrafo C, Rubino F, Santamaria M, Traka MH, Tullo A, Bouwman J, Sbisà E, Balech B.",2026,,10.3389/fmicb.2026.1722500,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
9,Multiomics and experimental validation reveal theophylline's mechanism targeting IL1A/ACTB/TLR4 and identify synergistic drugs in hepatocellular carcinoma,"Gao Y, Chen W, Zarogoulidis P, Yallapu MM, Nikolic MV, Vaishnani DK, Zheng J, Nedeljkovic N, Ye K, Guo Y, Xu Q.",2026,,10.1016/j.jpet.2026.103836,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
10,Systematic pharmacology-guided analysis of the therapeutic mechanism of Sedum sarmentosum against chronic liver injury,"Mao J, Wang C, Li T, Shao Q, Hu Q.",2026,,10.1016/j.bbrc.2026.153514,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
11,An Engineered Variant of E. coli Nissle 1917 with Enhanced Transformation Efficiency and Robustness,"Gudi CR, Neilson WJ, Mansell TJ.",2026,,10.1021/acssynbio.5c00852,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
13,Mapping the ECC-Saliva Neuroimmune Axis Using AI: A System-Level Framework,"Alamoudi A, Bahammam HA.",2026,,10.3390/children13020185,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
14,"Sortase A regulates cell wall integrity, quorum sensing, and biofilm formation to modulate adhesion properties in Lactiplantibacillus plantarum C8","Ji Y, Yang Y, Zhang T, Zeng X, Bao W, Pan D, Zhao L, Li H, Wu Z.",2026,,10.1128/aem.00029-26,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
15,Convergent gut microbiome adaptation and pervasive antibiotic resistome in Qinghai-Tibet Plateau passerines,"Shi S, Qi J, Peng W, Su X, Chen P, Xu S, Li S, Ma L, Wang W, Jiang K, Liu Z, Li W, Xiong H, Wang Y.",2026,,10.3389/fmicb.2025.1733974,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
16,cAMRah: a scalable and portable workflow for harmonized antimicrobial resistance gene prediction from bacterial genomes,"Matute DL, Clarke TH, LaPointe AR, Singh I, Fouts DE.",2026,,10.1093/bioadv/vbag017,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
