id,title,authors,year,journal,doi,source,auto_decision,auto_reason,screening_decision,screening_reason,reviewer_notes,screening_date,abstract
4,Predicting inter-microbial host specificity in oral biofilms using a lightweight relation-aware knowledge graph model,"Natarajan PM, Varma SR, Kodangattil Narayanan J, Odeh R.",2026,,10.3389/fcimb.2026.1775191,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
12,"Polarity-Aware Knowledge Graph Reveals Diet-Microbiome-Health Mechanisms with Relevance to Muscle, Immune and Metabolic Aging","Li J, Bu E, Lian A, Li Y, Tao C.",2026,,10.21203/rs.3.rs-8771108/v1,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
37,Methodological and statistical concerns in MINERVA microbiome-disease knowledge graph,Chirumbolo S.,2025,,10.1093/bib/bbaf673,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
38,Response to 'Methodological and statistical concerns in MINERVA microbiome-disease knowledge graph' by Salvatore Chirumbolo,"Langarica S, Kim YT, Alkhadrawi A, Kim JB, Do S.",2025,,10.1093/bib/bbaf671,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
47,Knowledge graph embedding for predicting and analyzing microbial interactions,"Khatbane M, Mangavel C, Borges F, Aridhi S, Toussaint Y.",2025,,10.1038/s41598-025-27591-9,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
52,Correction: MicrobiomeKG: bridging microbiome research and host health through knowledge graphs,Frontiers Production Office.,2025,,10.3389/fsysb.2025.1710604,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
56,Gut microbiota composition and antibiotic resistance ontology landscape in Micropterus salmoides: Insights from metagenomic and metabolomic analyses,"Zhou G, Wang YS, Zhang GF, Zhang SY, Wen X, Cui ZB, Shi QS, Xie XB.",2026,,10.1016/j.cbd.2025.101666,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
71,Representing Dental Caries and Dysbiosis within the Oral Microbiome in the Oral Health and Disease Ontology,"Duncan WD, Sabharwal A, Diehl AD, Dutta N, Diller M, Joachimiak MP, Chandrasekharan GM.",2025,,10.21203/rs.3.rs-7265626/v1,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
74,MINERVA-microbiome network research and visualization atlas: a scalable knowledge graph for mapping microbiome-disease associations,"Langarica S, Kim YT, Alkhadrawi A, Kim JB, Do S.",2025,,10.1093/bib/bbaf472,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
89,KGCLMDA: a computational model for predicting latent associations of microbial drugs using knowledge graphs and contrastive learning,"Liu M, Su S, Wang G, Huang S.",2025,,10.1093/bioinformatics/btaf457,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
91,Microbiome knowledge graph as a tool to understand bacteria-host associations,"Pudavar AE, Baksi KD, Pokhrel V, Kuntal BK.",2025,,10.1007/s00203-025-04413-0,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
138,New and revised gene ontology biological process terms describe multiorganism interactions critical for understanding microbial pathogenesis and sequences of concern,"Godbold G, Proescher J, Gaudet P.",2025,,10.1186/s13326-025-00323-8,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
