title,authors,year,doi,url,abstract,source_database,journal
An Explainable Knowledge Graph-Driven Approach to Decipher the Link Between Brain Disorders and the Gut Microbiome,"Aamer Naafey, Asim Muhammad Nabeel, Vollmer Sebastian, Dengel Andreas",2025,10.64898/2025.12.11.693657,https://doi.org/10.64898/2025.12.11.693657,"<jats:title>Abstract</jats:title>
                <jats:sec>
                  <jats:title>Motivation</jats:title>
                  <jats:p>The communication between the gut microbiome and the brain, known as the microbiome-gut-brain axis (MGBA), is emerging as a critical factor in neurological and psychiatric disorders. This communication involves complex pathways including neural, hormonal, and immune interactions that enable gut microbes to modulate brain function and behavior. However, the specific mechanisms through which gut microbes influence brain function remain poorly understood, and existing computational efforts to understand these mechanisms are simplistic or have limited scope.</jats:p>
                </jats:sec>
                <jats:sec>
                  <jats:title>Results</jats:title>
                  <jats:p>This work presents a comprehensive approach for elucidating the cascade of interactions that allows gut microbes to influence brain disorders. By using a large curated biomedical knowledge graph, we train GNN-GBA, an explainable graph neural network, to learn the complex biological interactions between the gut microbiome and the brain. GNN-GBA is then used to extract the mechanistic pathways through which the gut microbiome can influence brain disorders. GNN-GBA successfully identified pathways for 103 brain disorders, and we show that these pathways are consistent with existing literature.</jats:p>
                </jats:sec>
                <jats:sec>
                  <jats:title>Availability</jats:title>
                  <jats:p>
                    An interactive dashboard to explore thousands of potential mechanisms through which the gut microbiome can influence brain diseases is available at
                    <jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""https://sds-genetic-interaction-analysis.opendfki.de/gut_brain/"">https://sds-genetic-interaction-analysis.opendfki.de/gut_brain/</jats:ext-link>
                    . Code and data are available at
                    <jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""https://github.com/naafey-aamer/GNN-GBA"">https://github.com/naafey-aamer/GNN-GBA</jats:ext-link>
                    .
                  </jats:p>
                </jats:sec>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
"Polarity-Aware Knowledge Graph Reveals Diet-Microbiome-Health Mechanisms with Relevance to Muscle, Immune and Metabolic Aging","Li Jianfu, Bu Ellen, Lian Andrew, Li Yiming, Tao Cui",2026,10.21203/rs.3.rs-8771108/v1,https://doi.org/10.21203/rs.3.rs-8771108/v1,"<title>Abstract</title>
                <p>Diet profoundly influences gut microbial composition and metabolism, yet mechanistic pathways linking dietary exposures to human health remain fragmented across the literature. To systematically organize and integrate this evidence, we constructed an evidence-weighted Diet-Microbiome-Health Knowledge Graph (DMH-KG) from 1,309 curated PubMed abstracts (2023–2025), using a standardized schema spanning 11 entity categories and 12 relationship types with explicit polarity labels. Entities and relationships were identified through manual annotation, yielding 10,270 entity mentions and 4,866 relationships. Expert-guided consolidation of synonymous and lexically variant terms, along with pruning of disconnected concepts, resulted in 4,766 unique entities connected by 4,772 polarity-weighted edges. To prioritize robust biological signals, a composite edge-weighting function was applied, integrating both relationship frequency and polarity. Network analysis revealed a modular small-world structure centered on microbial and inflammatory mediators. High-confidence pathways emerged, including the probiotic-SCFA-immunity axis (34 supporting documents) and the high-fat diet-LPS-endotoxemia cascade (8 documents), both of which are central to age-related immune modulation and metabolic health. Quantitative validation against five KEGG and Reactome pathways demonstrated high biological fidelity: the DMH-KG recovered all reference diet-microbiome-outcome edges for Butanoate metabolism and Secondary Bile Acid biosynthesis (100% coverage) and achieved a mean pathway-level entity coverage of 92.0%, measured as the proportion of predefined pathway components represented in the graph. A comparative pilot study further demonstrated that DMH-KG augmentation improves mechanistic specificity inference across Diet-Microbiome-Health interactions. These features position the DMH-KG as a scalable platform for mechanistic inference across Diet-Microbiome-Health interactions, with direct relevance to immune regulation, muscle health, metabolic aging, and chronic disease prevention. The framework preserves evidence provenance, relationship polarity, and biological direction, supporting both discovery science and AI-driven nutritional reasoning.</p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
"Some Meta-Graph Structures: Mixed Graph, DiHyperGraph, Knowledge Graph, Intersection Graph, and Chemical Graph",Fujita Takaaki,2025,10.26434/chemrxiv-2025-9pxz7,https://doi.org/10.26434/chemrxiv-2025-9pxz7,[Abstract not available from CrossRef],CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Knowledge Graph Decision Transformer:Conditional sequence decision-making model for Offline RL integrated with knowledge graph,"He Shan, Lu Zhaoyang",2024,10.21203/rs.3.rs-4446588/v1,https://doi.org/10.21203/rs.3.rs-4446588/v1,"<title>Abstract</title>
        <p>Decision Transformer is one of the representative algorithms in the field of offline reinforcement learning for conditional sequence modeling. It can learn from past decisions and predict future action strategies, performing well in most tasks. However, recent research indicates its limitations in concatenating different trajectory segments, meaning it struggles to utilize suboptimal trajectories effectively. This paper combines Decision Transformer with knowledge graph link prediction, leveraging the strengths of both methods to enhance decision-making in complex environments. While Decision Transformer provides a robust framework for handling sequential data, knowledge graph link prediction offers structured representations of entity relationships and predicts potential links between entities, allowing the model to infer unobserved state transitions. By integrating knowledge graph predictions into the Decision Transformer model, we can enhance decision accuracy by leveraging additional contextual and relational information. This synergy enables more effective utilization of available data and better adaptation to diverse scenarios. Through experiments and evaluations, we have demonstrated the effectiveness of this integration approach in improving the performance of offline reinforcement learning models across various tasks and domains.</p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Automated Knowledge Graph Construction with Large Language Models,Kau Amanda,2024,10.59350/1a4tv-e9903,https://doi.org/10.59350/1a4tv-e9903,"<jats:p>Introduction Knowledge Graphs are networks that represent data in a graphical format. The beauty of Knowledge Graphs lies in their representation of concepts,&amp;nbsp;events and entities as nodes, and the relationships between them as edges.&amp;nbsp;These relationships determine the context of the node, and consequently, allow for better understanding of a word's semantics and distinguishing between its multiple possible meanings.</jats:p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Automated Knowledge Graph Construction with Large Language Models,Kau Amanda,2024,10.59350/e9jz5-r3357,https://doi.org/10.59350/e9jz5-r3357,"<jats:p>Introduction Knowledge Graphs are networks that represent data in a graphical format. The beauty of Knowledge Graphs lies in their representation of concepts,&amp;nbsp;events and entities as nodes, and the relationships between them as edges.&amp;nbsp;These relationships determine the context of the node, and consequently, allow for better understanding of a word's semantics and distinguishing between its multiple possible meanings.</jats:p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Unlocking Intelligence: The Journey from Data to Knowledge Graph,Fang Qingqin,2024,10.59350/p8q7t-zf030,https://doi.org/10.59350/p8q7t-zf030,<jats:p>An Overview of Constructing a Knowledge Graph Author · Qingqin Fang ( &lt;strong&gt; ORCID: &lt;/strong&gt; 0009–0003–5348–4264) 1. Introduction 1.1 What is a Knowledge Graph Knowledge Graphs are structured semantic knowledge bases used to rapidly describe concepts and their relationships in the physical world.</jats:p>,CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Unlocking Intelligence: The Journey from Data to Knowledge Graph,Fang Qingqin,2024,10.59350/bvg2t-4bb37,https://doi.org/10.59350/bvg2t-4bb37,<jats:p>An Overview of Constructing a Knowledge Graph Author · Qingqin Fang ( &lt;strong&gt; ORCID: &lt;/strong&gt; 0009–0003–5348–4264) 1. Introduction 1.1 What is a Knowledge Graph Knowledge Graphs are structured semantic knowledge bases used to rapidly describe concepts and their relationships in the physical world.</jats:p>,CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Automated Knowledge Graph Construction with Large Language Models — Part 2,Kau Amanda,2024,10.59350/4c2mx-vm853,https://doi.org/10.59350/4c2mx-vm853,"<jats:p>Introduction Knowledge graphs (KGs) are a structured representation of data in a graphical format, in which&amp;nbsp;entities&amp;nbsp;are represented by&amp;nbsp;nodes&amp;nbsp;and are connected by&amp;nbsp;edges&amp;nbsp;representing&amp;nbsp;relationships&amp;nbsp;between them.&amp;nbsp;They have been employed across numerous domains, like retail, healthcare, and search engines.&amp;nbsp;However,&amp;nbsp;one critical factor limiting the usage of KGs is the difficult and costly</jats:p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
GIMIC - Smoothed Graph-Image representationof Microbiome Samples induce an optimal distance,"Shtossel Oshrit, Louzoun Yoram",2024,10.21203/rs.3.rs-4762889/v1,https://doi.org/10.21203/rs.3.rs-4762889/v1,"<title>Abstract</title>
        <p>An essential tool in microbiome is the distance between samples. This serves to detect groups of similar samples. However, current methods lack interpretability. We have recently shown that combining the cladogram with the abundance of each microbe into a sorted normalized abundance tree can improve the accuracy of Machine Learning and Differential Analysis. We show that smoothing these tree-based images to produce GIMIC (Smoothed Graph IMages of the MICrobiome) leads to an interpretable visualization of microbiome sets and that the difference between the smoothed tree-based images is a better metric than the current state-of-the-art in a wide array of tasks.</p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
