"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Theoretical Rule-based Knowledge Graph Reasoning by Connectivity Dependency Discovery","C. Zhang; C. -N. Hsu; Y. Katsis; H. -C. Kim; Y. Vázquez-Baeza","Circulo Health (present) Center of Microbiome Innovation University of California, San Diego (sponsor), Columbus, US; Center for Research in Biological Systems, University of California, San Diego, La Jolla, US; IBM Research-Almaden, San Jose, US; IBM Research-Almaden, San Jose, US; University of California, San Diego, La Jolla, US",2022 International Joint Conference on Neural Networks (IJCNN),"30 Sep 2022","2022","","","1","9","Discovering precise and interpretable rules from knowledge graphs is regarded as an essential challenge, which can improve the performances of many downstream tasks and even provide new ways to approach some Natural Language Processing research topics. In this paper, we present a fundamen-tal theory for rule-based knowledge graph reasoning, based on which the connectivity dependencies in the graph are captured via multiple rule types. It is the first time for some of these rule types in a knowledge graph to be considered. Based on these rule types, our theory can provide precise interpretations to unknown triples. Then, we implement our theory by what we call the RuleDict model. Results show that our RuleDict model not only provides precise rules to interpret new triples, but also achieves state-of-the-art performances on one benchmark knowledge graph completion task, and is competitive on other tasks.","2161-4407","978-1-7281-8671-9","10.1109/IJCNN55064.2022.9891938","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9891938","Knowledge graph completion;rule-based model;knowledge interpretation","Knowledge engineering;Neural networks;Benchmark testing;Cognition;Natural language processing;Task analysis","","5","","40","IEEE","30 Sep 2022","18-23 July 2022","18-23 July 2022","IEEE","IEEE Conferences"
"An Effective Microbial–drug Relation Extraction Model Based on Dual Graph Convolutional Networks","R. Zhang; D. Li; Y. Xiao; W. Zhao; X. Jiang; X. Shen","Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University, WuHan, Hubei, PR China; Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University, WuHan, Hubei, PR China; Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University, WuHan, Hubei, PR China; Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University, WuHan, Hubei, PR China; Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University, WuHan, Hubei, PR China; Hubei Provincial Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University, WuHan, Hubei, PR China",2023 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),"18 Jan 2024","2023","","","984","987","Microbe-drug interactions, which refer to the effects of drugs on microorganisms, play a crucial role in the realm of studying antibiotic-resistant bacteria and the development of antimicrobial agents. With the rapid progress in biomedical field, numerous experimental results containing validated microbe-drug interactions have been available in scientific articles. However, since failing to employ domain knowledge, traditional natural language processing methods encounter challenges in accurately identifying microbe and drug entities. Moreover, the unstructured characteristics and semantic complexity of biomedical literature pose difficulties for conventional text mining approaches to accurately grasp the syntactic features. In this paper, we present a novel microbial-drug relation extraction model called D-GCN, in which dual graph convolutional networks are used. Specifically, the drug database Drugbank is leveraged as external domain knowledge, while the graph convolutional network-based model SemGCN is utilized to learn meaningful features from biomedical texts. In addition, the attention graph convolutional network A-GCN is introduced to capture crucial syntactic features contained in texts. The experimental results show that the proposed model achieves better performance over the selected baseline models, which means D-GCN can not only accurately recognize microbial and drug entity representations, but also effectively identify the microbe-drug interactions.","2156-1133","979-8-3503-3748-8","10.1109/BIBM58861.2023.10385893","National Natural Science Foundation of China; Natural Science Foundation of Hubei Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10385893","microbial-drug relation extraction;graph convolutional network;semantic feature;syntactic feature","Drugs;Text mining;Microorganisms;Databases;Biological system modeling;Precision medicine;Semantics","","3","","18","IEEE","18 Jan 2024","5-8 Dec. 2023","5-8 Dec. 2023","IEEE","IEEE Conferences"
"Analysis of Phage-Bacteria-Food Association and its Relation to Human Health Using Knowledge Graphs","V. Verma; V. Pokhrel; B. K. Kuntal; P. Ghosh","Savitribai Phule Pune University, Pune, India; TCS-Research, Tata Consultancy Services Ltd, Pune, India; TCS-Research, Tata Consultancy Services Ltd, Pune, India; Bioinformatics Centre, Savitribai Phule Pune University, Pune, India",2025 IEEE Pune Section International Conference (PuneCon),"17 Feb 2026","2025","","","1","6","The human gut microbiome plays a vital role in maintaining health, with phages emerging as key modulators of microbial diversity and ecological balance. This study presents a graph-based exploration of gut phage-bacteria interactions, extending the focus to include bacterial communities transmitted via food. An extensive data curation was performed from diverse resources along with computational prediction of phage-bacteria associations using state of art bioinformatics pipelines. The resulting network, comprising 50,468 nodes and 12,50,963 edges, was enriched with biological attributes such as taxonomy, pathogenicity, isolation source, host, and food processing information. The work involved identification of food-to-gut microbial transmission paths supported by literature evidence. Through a knowledge graph driven querying and network analytics, the nature of gut bacteria interaction with food as well as infecting phages was studied, enabling new insights in design of targeted phage cocktails for potential biocontrol.","2831-5022","979-8-3315-8834-2","10.1109/PuneCon67554.2025.11377613","Tata Consultancy Services; NCL; Academy of Scientific and Innovative Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11377613","Bacteria;Phage;Food;Association;Knowledge graph;Network","Bacteriophages;Taxonomy;Pipelines;Modulation;Knowledge graphs;Bacteria;Biology;Food processing;Biological control systems;Bioinformatics","","","","44","IEEE","17 Feb 2026","12-14 Dec. 2025","12-14 Dec. 2025","IEEE","IEEE Conferences"
"Comparative Analysis of Graph and Relational Databases using HerbMicrobeDB","S. Chandrababu; D. R. Bastola","Bioinformatics, University of Nebraska at Omaha, Omaha, U.S.A; Bioinformatics, University of Nebraska at Omaha, Omaha, U.S.A",2018 IEEE International Conference on Healthcare Informatics Workshop (ICHI-W),"19 Jul 2018","2018","","","19","28","Network pharmacology is an emerging approach for establishing the ""compounds-proteins/genes-diseases"" network, aiding in drug target prediction through the interactions between the small molecules and the host microbes. In recent years, considerable information on the biochemical properties, location and biological properties of herbal phytochemicals and their interactions with the host through the microbiome have been accumulated and made available as repositories accessible to the general public. However, the scattered data from thousands of experiments, publications and other diverse sources make the storage, retrieval, in particular, data integration process, a cumbersome task. Additionally, new knowledge about the phytochemical properties and associated functions is constantly being discovered. Such a dynamic nature and multiple integrated relationships between the elements has made it difficult to manage the information with relational model of these databases because of its rigid schema. In the present study, we explore the effectiveness of using graph database (Neo4j) to store and effectively manage phytochemical data from 24 culinary herbs and genomic data for human microbiome. The HerbMicrobeDB (HbMDB) provides a graphically intuitive solution and simplifies the complex model, estimating the impact of herbs on microorganisms and in turn on the host.","","978-1-5386-6777-4","10.1109/ICHI-W.2018.00010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8411676","Relational Database, Graph Database, Phytochemicals, Culinary Herbs, Heterogeneous Networks, Neo4j.","Microorganisms;Relational databases;Bioinformatics;Algebra;Biological system modeling;Compounds","","6","","15","IEEE","19 Jul 2018","4-7 June 2018","4-7 June 2018","IEEE","IEEE Conferences"
"Microbial Interaction Extraction from Biomedical Literature using Max-Bi-LSTM","R. Zhong; X. Li; X. Sun; C. Fu; T. He; X. Jiang","Collaborative &Innovation Center, Central China Normal University, Wuhan, China; Hubei Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University, Wuhan, China; Hubei Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University, Wuhan, China; Hubei Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University, Wuhan, China; Hubei Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University, Wuhan, China; Hubei Key Laboratory of Artificial Intelligence and Smart Learning, Central China Normal University, Wuhan, China",2019 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),"6 Feb 2020","2019","","","723","726","Microorganisms play a vital role in various ecosystems, but their complex interaction is still unclear. With the publication of a large number of microbial literatures, many experimentally verified microbial interaction is dispersed therein. Organizing them into a database or knowledge graph can facilitate the development of microbiology research. Text mining technology is able to automatically extract and integrate these microbial interactions, as well as discover implicit information in literatures. For this purpose, we manually annotate a Microbial Interaction Corpus (MICorpus) containing 1005 abstracts, which provide a useful data source for the MIE task. On this basis, we propose an automated MIE extraction system based on Max-Bi-LSTM model. The best result of the system is precision (P) 76.313%, recall (R) of 90.121%, and an F value (F) 82.476%.","","978-1-7281-1867-3","10.1109/BIBM47256.2019.8983259","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8983259","Relation Extraction;Microbial interaction;Text mining;Long Short-Term Memory;Deep Learning","Text mining;Deep learning;Microorganisms;Biological system modeling;Soft sensors;Microbiology;Ecosystems;Knowledge graphs;Data models;Long short term memory","","3","","18","IEEE","6 Feb 2020","18-21 Nov. 2019","18-21 Nov. 2019","IEEE","IEEE Conferences"
"Toward Multilabel Classification for Multiple Disease Prediction Using Gut Microbiota Profiles","Z. -A. Huang; P. Hu; L. Hu; Z. -H. You; K. Chen Tan; Y. -A. Huang","Research Office, City University of Hong Kong (Dongguan), Dongguan, China; Xinjiang Technical Institute of Physics and Chemistry, Chinese Academy of Sciences, Ürümqi, China; Xinjiang Technical Institute of Physics and Chemistry, Chinese Academy of Sciences, Ürümqi, China; School of Computer Science, Northwestern Polytechnical University, Xi’an, China; Department of Data Science and Artificial Intelligence, The Hong Kong Polytechnic University, Hong Kong, SAR, China; School of Computer Science, Northwestern Polytechnical University, Xi’an, China",IEEE Transactions on Neural Networks and Learning Systems,"8 Jul 2025","2025","36","7","12840","12853","Advancements in high-throughput technologies have yielded large-scale human gut microbiota profiles, sparking considerable interest in exploring the relationship between the gut microbiome and complex human diseases. Through extracting and integrating knowledge from complex microbiome data, existing machine learning (ML)-based studies have demonstrated their effectiveness in the precise identification of high-risk individuals. However, these approaches struggle to address the heterogeneity and sparsity of microbial features and explore the intrinsic relatedness among human diseases. In this work, we reframe human gut microbiome-based disease detection as a multilabel classification (MLC) problem and integrate a range of innovative techniques within the proposed MLC framework, aptly named GutMLC. Specifically, the entity semantic similarity as priori knowledge is incorporated into multilabel feature selection and loss functions by capturing the shared attributes and inherent associations among diseases and microbes. To tackle the issue of label imbalance, both within and between labels, we adapt the focal loss (FL) function for MLC using debiased inverse weighting. Extensive experiment results consistently demonstrate the competitive performance of GutMLC in comparison with commonly used MLC and single-label classification (SLC) algorithms. This work seeks to unlock the potential of gut microbiota as robust biomarkers for multiple disease prediction.","2162-2388","","10.1109/TNNLS.2024.3453967","National Nature Science Foundation of China (NSFC)(grant numbers:62202399,62472353,U21A20512); National Science Fund for Distinguished Young Scholars of China(grant numbers:62325308); Fundamental Research Funds for the Central Universities(grant numbers:D5000230199); Natural Science Foundation of Guangdong Province of China(grant numbers:2024A1515011984); Research Grants Council of Hong Kong, SAR(grant numbers:C5052-23G,PolyU 11211521,PolyU 15218622,PolyU 15215623); Specific Research Project of Guangxi for Research Bases and Talents(grant numbers:2021AC19354); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10679051","Disease prediction;gut microbiota;machine learning (ML);microbe-disease association;microbial biomarkers;multilabel classification (MLC)","Diseases;Microorganisms;Feature extraction;Semantics;Predictive models;Deep learning;Support vector machines","Humans;Gastrointestinal Microbiome;Algorithms;Machine Learning;Neural Networks, Computer","6","","49","IEEE","12 Sep 2024","July 2025","","IEEE","IEEE Journals"
"A Web-Based Network Analysis Tool for the Metaganomic Analysis of Resistomes","R. A. D. Santos; G. A. Solano; Z. B. Lara","Department of Physical Sciences and Mathematics, College of Arts and Sciences University of the Philippines, Manila; Department of Physical Sciences and Mathematics, College of Arts and Sciences University of the Philippines, Manila; Department of Biochemistry and Molecular Biology, College of Medicine University of the Philippines, Manila","2024 15th International Conference on Information, Intelligence, Systems & Applications (IISA)","18 Dec 2024","2024","","","1","7","Metagenomics is becoming increasingly popular in large-scale genomics applications as a way to study the complex system of taxonomic and functional composition of microbial communities from environmental, agricultural, and clinical settings. It allows the analysis of the presence as well as the dynamics of “resistomes” (the ensemble of genes encoding antimicrobial resistance in a given microbiome) in disparate microbial ecosystems. In this study, we explored how network analysis can aide in the study of resistomes. A web application was developed specifically to enable users to perform network analysis from the results of Taxonomic Screening (via GTDB-Tk) and the AMR Screening (via ABRicate), and provide network visualizations, centrality measures and communities. The system will enable researchers to conduct network analysis of resistomes faster in a dry lab and does not require knowledge in programming or in general network analysis applications. Outputs of the system may also be integrated with current research findings to corroborate or form new insights.","","979-8-3503-6883-3","10.1109/IISA62523.2024.10786654","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10786654","metagenomics;resistomes;network analysis;network visualization;central nodes;community detection;taxa;genes","Knowledge engineering;Resistance;Visualization;Metagenomics;Microorganisms;Ecosystems;Network analyzers;Programming;Encoding;Pattern recognition","","","","28","IEEE","18 Dec 2024","17-19 July 2024","17-19 July 2024","IEEE","IEEE Conferences"
"MDADP: A Webserver Integrating Database and Prediction Tools for Microbe-Disease Associations","L. Wang; H. Li; Y. Wang; Y. Tan; Z. Chen; T. Pei; Q. Zou","College of Computer Engineering & Applied Mathematics, Changsha University, Changsha, China; Key Laboratory of Hunan Province for Internet of Things and Information Security, Xiangtan University, Xiangtan, China; Key Laboratory of Hunan Province for Internet of Things and Information Security, Xiangtan University, Xiangtan, China; College of Computer Engineering & Applied Mathematics, Changsha University, Changsha, China; College of Computer Engineering & Applied Mathematics, Changsha University, Changsha, China; College of Computer Engineering & Applied Mathematics, Changsha University, Changsha, China; Institute of Fundamental and Frontier Sciences, University of Electronic Science and Technology of China, Chengdu, China",IEEE Journal of Biomedical and Health Informatics,"1 Jul 2022","2022","26","7","3427","3434","More and more evidence has demonstrated that microbiota play important roles in the life processes of the human body. In recent years, various computational methods have been proposed for identifying potentially disease-associated microbes to save costs in traditional biological experiments. However, prediction performances of these methods are generally limited by outdated and incomplete datasets. And moreover, until now, there are limited studies that can provide visual predictive tools for inferring possible microbe-disease associations (MDAs) as well. Hence, in this manuscript, a novel webserver called MDADP will be proposed to identify latent MDAs, in which, a new MDA database together with interactive prediction tools for MDAs studies will be designed simultaneously. Especially, in the newly constructed MDA database, 2019 known MDAs between 58 diseases and 703 microbes have been manually collected first. And then, through adopting the average ranking method and the co-confidence method respectively, eight representative computational models have been integrated together to identify potential disease-related microbes. As a result, MDADP can provide not only interactive features for users to access and capture MDAs entities, but alsoeffective tools for users to identify candidate microbes for different diseases. To our knowledge, MDADP is the first online platform that incorporates a new MDA database with comprehensive MDA prediction tools. Therefore, we believe that it will be a valuable source of information for researches in microbiology and disease-related fields. MDADP can be accessed at http://mdadp.leelab2997.cn.","2168-2208","","10.1109/JBHI.2022.3156166","National Natural Science Foundation of China(grant numbers:61873221); Natural Science Foundation of Hunan Province(grant numbers:2019JJ70010); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9729447","Association database;association prediction tool;disease;microbe","Diseases;Databases;Computational modeling;Predictive models;Analytical models;Biological system modeling;Bioinformatics","Algorithms;Computational Biology;Databases, Factual;Humans;Microbiota","7","","36","CCBY","7 Mar 2022","July 2022","","IEEE","IEEE Journals"
"Learning Sparse Gaussian Bayesian Network Structure by Variable Grouping","J. Yang; H. C. M. Leung; S. M. Yiu; Y. Cai; F. Y. L. Chin","Department of Computer Science, The University of Hong Kong, Hong Kong; Department of Computer Science, The University of Hong Kong, Hong Kong; Department of Computer Science, The University of Hong Kong, Hong Kong; Shenzhen Institutes of Advance Technology, Key Lab for Health Informatics Chinese Academy of Sciences, China; Department of Computer Science, The University of Hong Kong, Hong Kong",2014 IEEE International Conference on Data Mining,"29 Jan 2015","2014","","","1073","1078","Bayesian networks (BNs) are popular for modeling conditional distributions of variables and causal relationships, especially in biological settings such as protein interactions, gene regulatory networks and microbial interactions. Previous BN structure learning algorithms treat variables with similar tendency separately. In this paper, we propose a grouped sparse Gaussian BN (GSGBN) structure learning algorithm which creates BN based on three assumptions: (i) variables follow a multivariate Gaussian distribution, (ii) the network only contains a few edges (sparse), (iii) similar variables have less-divergent sets of parents, while not-so-similar ones should have divergent sets of parents (variable grouping). We use L1 regularization to make the learned network sparse, and another term to incorporate shared information among variables. For similar variables, GSGBN tends to penalize the differences of similar variables' parent sets more, compared to those not-so-similar variables' parent sets. The similarity of variables is learned from the data by alternating optimization, without prior domain knowledge. Based on this new definition of the optimal BN, a coordinate descent algorithm and a projected gradient descent algorithm are developed to obtain edges of the network and also similarity of variables. Experimental results on both simulated and real datasets show that GSGBN has substantially superior prediction performance for structure learning when compared to several existing algorithms.","2374-8486","978-1-4799-4302-9","10.1109/ICDM.2014.126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7023449","Bayesian network;sparsity;variable grouping;microbial interactions","Gaussian distribution;Probability distribution;Benchmark testing;Optimization;Sensitivity;Linear regression;Bismuth","","1","","23","IEEE","29 Jan 2015","14-17 Dec. 2014","14-17 Dec. 2014","IEEE","IEEE Conferences"
"The Bi-Direction Similarity Integration Method for Predicting Microbe-Disease Associations","W. Zhang; W. Yang; X. Lu; F. Huang; F. Luo","School of Computer Science, Wuhan University, Wuhan, China; School of Computer Science, Wuhan University, Wuhan, China; School of Computer Science, Wuhan University, Wuhan, China; School of Computer Science, Wuhan University, Wuhan, China; School of Computer Science, Wuhan University, Wuhan, China",IEEE Access,"30 Jul 2018","2018","6","","38052","38061","Identification of microbe-disease associations provides insight into the mechanism that microbes cause diseases at the molecular level. Existing microbe-disease association prediction methods mainly utilize microbe-disease association profiles to calculate microbe-microbe similarities and disease-disease similarities, and then build similarity-based prediction models. However, they ignore important biological knowledge, e.g., disease Medical Subject Headings (MeSH), and do not consider unequal contributions of microbe information and disease information. In this paper, we propose the bi-direction similarity integration label propagation (BDSILP) method for predicting microbe-disease associations. First, BDSILP introduces disease MeSH to calculate the disease-disease semantic similarity and the microbe-microbe functional similarity. Although MeSH is not available for all diseases, BDSILP presents a strategy for integrating multiple similarities for microbes and diseases. Second, two graphs are constructed by using integrated disease similarity and integrated microbe similarity, and BDSILP implements the label propagation on the graphs to score microbe-disease pairs. Third, BDSILP adopts the weighted averages of their scores as final predictions. BDSILP produces better performances than existing state-of-the-art methods, achieving the AUC of 0.9131 and the AUPR of 0.5343 in leave-one-out cross validation, and achieving the AUC of 0.9051 and the AUPR of 0.3037 in five-fold cross validation. Moreover, case studies and discussion demonstrate that BDSILP is promising for predicting novel microbe-disease associations.","2169-3536","","10.1109/ACCESS.2018.2851751","National Natural Science Foundation of China(grant numbers:61772381,61572368); Fundamental Research Funds for the Central Universities(grant numbers:2042017kf0219); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8400513","Microbe-disease association;MeSH;label propagation","Diseases;Semantics;Kernel;Bidirectional control;Heterogeneous networks;Predictive models;Microorganisms","","36","","49","OAPA","29 Jun 2018","2018","","IEEE","IEEE Journals"
