title,authors,year,journal,doi,source,category_name,confidence,matched_terms
An Explainable Knowledge Graph-Driven Approach to Decipher the Link Between Brain Disorders and the Gut Microbiome,"Aamer Naafey, Asim Muhammad Nabeel, Vollmer Sebastian, Dengel Andreas",2025,bioRxiv/medRxiv,10.64898/2025.12.11.693657,bioRxiv,AMR-GNN-type: Genomic AMR (Graph Neural Networks),10,"gnn, graph neural network, TECH:gnn, TECH:graph neural"
A Web-Based Network Analysis Tool for the Metaganomic Analysis of Resistomes,R. A. D. Santos; G. A. Solano; Z. B. Lara,2024,"2024 15th International Conference on Information, Intelligence, Systems & Applications (IISA)",10.1109/IISA62523.2024.10786654,IEEE Xplore,BRIDGE-type: AMR Prediction (KG Embeddings),8,"amr, antimicrobial resistance, arg, resistome"
Knowledge graph embedding for predicting and analyzing microbial interactions,"Khatbane M, Mangavel C, Borges F, Aridhi S, Toussaint Y.",2025,,10.1038/s41598-025-27591-9,pubmed,BRIDGE-type: AMR Prediction (KG Embeddings),6,"TECH:embedding, TECH:knowledge graph embedding"
Comparison of microbial consortia in refuse-derived fuel (RDF) preparations between Japan and Germany,"Sakka M, Kimura T, Sakka K.",2006,,10.1271/bbb.60261,pubmed,KG-Microbe-type: Modular Microbial KG (OBO Foundry),5,"microbial, TECH:rdf"
Learning Sparse Gaussian Bayesian Network Structure by Variable Grouping,J. Yang; H. C. M. Leung; S. M. Yiu; Y. Cai; F. Y. L. Chin,2014,2014 IEEE International Conference on Data Mining,10.1109/ICDM.2014.126,IEEE Xplore,KG-Microbe-type: Modular Microbial KG (OBO Foundry),5,"microbial, TECH:go"
New and revised gene ontology biological process terms describe multiorganism interactions critical for understanding microbial pathogenesis and sequences of concern,"Godbold G, Proescher J, Gaudet P.",2025,,10.1186/s13326-025-00323-8,pubmed,KG-Microbe-type: Modular Microbial KG (OBO Foundry),4,"microbial, ontology"
Correction: Microbial Gene Ontology informed deep neural network for microbe functionality discovery in human diseases,"Liu Y, Zhang YZ, Imoto S.",2023,,10.1371/journal.pone.0296316,pubmed,KG-Microbe-type: Modular Microbial KG (OBO Foundry),4,"microbial, ontology"
Ontology-aware deep learning enables ultrafast and interpretable source tracking among sub-million microbial community samples from hundreds of niches,"Zha Y, Chong H, Qiu H, Kang K, Dun Y, Chen Z, Cui X, Ning K.",2022,,10.1186/s13073-022-01047-5,pubmed,KG-Microbe-type: Modular Microbial KG (OBO Foundry),4,"microbial, ontology"
Phenotype annotation with the ontology of microbial phenotypes (OMP),"Siegele DA, LaBonte SA, Wu PI, Chibucos MC, Nandendla S, Giglio MG, Hu JC.",2019,,10.1186/s13326-019-0205-5,pubmed,KG-Microbe-type: Modular Microbial KG (OBO Foundry),4,"microbial, ontology"
MCO: towards an ontology and unified vocabulary for a framework-based annotation of microbial growth conditions,"Tierrafría VH, Mejía-Almonte C, Camacho-Zaragoza JM, Salgado H, Alquicira K, Ishida C, Gama-Castro S, Collado-Vides J.",2019,,10.1093/bioinformatics/bty689,pubmed,KG-Microbe-type: Modular Microbial KG (OBO Foundry),4,"microbial, ontology"
An integrated strategy for functional analysis of microbial communities based on gene ontology and 16S rRNA gene,"Deng SP, Huang DS.",2015,,10.1504/ijdmb.2015.070841,pubmed,KG-Microbe-type: Modular Microbial KG (OBO Foundry),4,"microbial, ontology"
TypOn: the microbial typing ontology,"Vaz C, Francisco AP, Silva M, Jolley KA, Bray JE, Pouseele H, Rothganger J, Ramirez M, Carriço JA.",2014,,10.1186/2041-1480-5-43,pubmed,KG-Microbe-type: Modular Microbial KG (OBO Foundry),4,"microbial, ontology"
